Lot,HWODescription,HWOApprovedAmount,SalesTax,AdminFee,ChargeAmount,Specialties,ISO,Country,Locality,Postcode,Street,Latitude,Longitude,Region
26,@ apt #3d in bedroom installed 1 windowguard. inthe same room installed stops and screws.installed 1 windowguard in liviningroom. also in the livining,99.27,8.81,39.71,147.79,"Repairs, Installation, Maintenance, Assembly, Painting",EG,Egypt,10th of Ramadan City,44629,Asad Allah Street,30.299746,31.755107,Al Sharqia Governorate
30,"trace and repair all leaks effecting the boileroom below to include resetting water closet, repairing leaks at face basin, deck faucet and replace sho",824.19,73.15,206.05,1103.39,PLUMB,EG,Egypt,10th of Ramadan City,44629,Belbes - 10th of Ramadan Road,30.297967,31.677971,Al Sharqia Governorate
29,doh clean & dust wipe only: building entrance foyer from outside front porch floor-sill & well. 1st floor hallway from building entrance foyer-floo,118.16,9.9,17.72,145.78,,EG,Egypt,10th of Ramadan City,44629,Mohamed Hafez Street,30.299745,31.744319,Al Sharqia Governorate
58,replace radiator air valve remove all work related debris remove all work related debris,221.07,18.51,33.16,272.74,,EG,Egypt,10th of Ramadan City,44629,Omar Ibn Abd Al Aziz Street,30.299877,31.740031,Al Sharqia Governorate
7,nyc hpd emergency operations division - '' essential service work '' at apt: # 1b properly replace with new the broken mortise lock at apartment d,0,0,0,0,PLUMB,EG,Egypt,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.300369,31.729908,Al Sharqia Governorate
52,install missing balusters at 1st to 2nd fl. #3 . 2nd to 3rd fl. #3. and 3rd to bulk head # 10 total # 16. secure the loose hand rail to newel post.,271.98,22.78,40.8,335.56,,EG,Egypt,10th of Ramadan City,44629,Othman Ibn Affan Street,30.29766,31.697372,Al Sharqia Governorate
44,apt #2r) at kitchen : replace kitchen waste line. ''remove all work related debris''.,48.42,4.18,15,67.6,"Washer or dryer, Refrigerator, Dishwasher, Oven or stove, Microwave oven",EG,Egypt,10th of Ramadan City,44634,Masr Al Nour Road,30.297831,31.685978,Al Sharqia Governorate
35,local law #1 violation : as per hpd's abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new yor,145.01,12.51,21.75,179.27,"Cabinets, shelves, or bookcases, Outdoor animal enclosure, Walls, Door, Deck, porch, or balcony, Furniture, Baseboards and/or crown molding, Stairs, Windows, Garage, carport, or shed, Soffit or fascia, Gazebo or pergola",EG,Egypt,10th of Ramadan City,44634,Omar Ibn Al Khatab Street,30.299382,31.725197,Al Sharqia Governorate
31,at apt# 3e: install/repair window guards throughout entire apt.,44.05,3.91,22.03,69.99,,EG,Egypt,Al Helsamiya,44669,Teraa Al Saeidia,30.649906,31.754377,Al Sharqia Governorate
11,doh:clean and dust wipe only one room. room (livingroom) from apartment foyer. perform total lead analysis of 04 dust wipe sample(s) via environme,91.61,8.13,22.9,122.64,,EG,Egypt,Bahnabai,44819,"Banayous, Al Zagazig Road",30.649948,31.479953,Al Sharqia Governorate
70,replace the spring balance of window at 2nd sty p.h stair intermediate landing.ensure that window operates properly. remove all work related debris.,0,0,0,0,"Wood, Chain link, Vinyl, Barbed Wire",EG,Egypt,Cairo,44629,"Cairo, Ismailia Desert Road",30.297127,31.801965,Al Sharqia Governorate
